Sentiment,Review,label,num_character,num_of_word,num_sentences
nv_tot,Nhân viên luôn nhiệt tình và thân thiện với khách hàng.,0,55,12,1
nv_tot,Tôi thực sự ấn tượng với sự chuyên nghiệp của nhân viên ở đây.,0,62,15,1
nv_tot,Tôi thực sự ấn tượng với sự chuyên nghiệp của nhân viên làm việc.,0,65,15,1
nv_tot,Nhân viên rất nhiệt tình và thân thiện với mọi khách hàng đến.,0,62,14,1
nv_tot,Dịch vụ tuyệt vời và nhân viên luôn sẵn sàng giúp đỡ tất cả mọi người.,0,70,17,1
nv_tot,Tôi rất hài lòng với sự tận tâm của nhân viên trong công việc.,0,62,15,1
nv_tot,Nhân viên rất thân thiện và luôn cố gắng giải đáp mọi thắc mắc.,0,63,15,1
nv_tot,Dịch vụ tuyệt vời và nhân viên thân thiện với tất cả mọi người.,0,63,15,1
nv_tot,Tôi rất hài lòng với dịch vụ chuyên nghiệp của cửa hàng này.,0,60,14,1
nv_tot,Nhân viên rất nhiệt tình và luôn hỗ trợ mọi khách hàng đến.,0,59,14,1
nv_tot,"Dịch vụ nhanh chóng và hiệu quả, nhân viên thân thiện với mọi người.",0,68,16,1
nv_tot,Tôi thực sự ấn tượng với sự chuyên nghiệp của nhân viên làm việc.,0,65,15,1
nv_tot,Dịch vụ rất chuyên nghiệp và nhân viên thân thiện.,0,50,11,1
nv_tot,Nhân viên rất nhiệt tình và thân thiện với mọi khách hàng đến.,0,62,14,1
nv_tot,Dịch vụ tuyệt vời và nhân viên luôn sẵn sàng giúp đỡ tất cả mọi người.,0,70,17,1
nv_tot,Tôi rất hài lòng với sự tận tâm của nhân viên trong công việc.,0,62,15,1
nv_tot,Nhân viên rất thân thiện và luôn cố gắng giải đáp mọi thắc mắc.,0,63,15,1
nv_tot,Dịch vụ tuyệt vời và nhân viên thân thiện với tất cả mọi người.,0,63,15,1
nv_tot,Tôi rất hài lòng với dịch vụ chuyên nghiệp của cửa hàng này.,0,60,14,1
nv_tot,Nhân viên rất nhiệt tình và luôn hỗ trợ mọi khách hàng đến.,0,59,14,1
nv_tot,"Dịch vụ nhanh chóng và hiệu quả, nhân viên thân thiện với mọi người.",0,68,16,1
nv_tot,Tôi thực sự ấn tượng với sự chuyên nghiệp của nhân viên làm việc.,0,65,15,1
nv_tot,Nhân viên rất nhiệt tình và thân thiện với mọi khách hàng đến.,0,62,14,1
nv_tot,Nhân viên luôn tận tình giải đáp mọi thắc mắc của khách hàng.,0,61,14,1
nv_tot,Dịch vụ tuyệt vời và nhân viên luôn sẵn sàng giúp đỡ tất cả mọi người.,0,70,17,1
nv_tot,Tôi rất hài lòng với sự tận tâm của nhân viên trong công việc.,0,62,15,1
nv_tot,Nhân viên rất thân thiện và luôn cố gắng giải đáp mọi thắc mắc.,0,63,15,1
nv_tot,Dịch vụ tuyệt vời và nhân viên thân thiện với tất cả mọi người.,0,63,15,1
nv_tot,Tôi rất hài lòng với dịch vụ chuyên nghiệp của cửa hàng này.,0,60,14,1
nv_tot,Nhân viên rất nhiệt tình và luôn hỗ trợ mọi khách hàng đến.,0,59,14,1
nv_tot,"Dịch vụ nhanh chóng và hiệu quả, nhân viên thân thiện với mọi người.",0,68,16,1
nv_tot,Tôi thực sự ấn tượng với sự chuyên nghiệp của nhân viên làm việc.,0,65,15,1
nv_tot,Nhân viên rất nhiệt tình và thân thiện với mọi khách hàng đến.,0,62,14,1
nv_tot,Dịch vụ tuyệt vời và nhân viên luôn sẵn sàng giúp đỡ tất cả mọi người.,0,70,17,1
nv_tot,Tôi thích cách nhân viên tư vấn và giới thiệu sản phẩm.,0,55,13,1
nv_tot,Tôi rất hài lòng với sự tận tâm của nhân viên trong công việc.,0,62,15,1
nv_tot,Nhân viên rất thân thiện và luôn cố gắng giải đáp mọi thắc mắc.,0,63,15,1
nv_tot,Dịch vụ tuyệt vời và nhân viên thân thiện với tất cả mọi người.,0,63,15,1
nv_tot,Tôi rất hài lòng với dịch vụ chuyên nghiệp của cửa hàng này.,0,60,14,1
nv_tot,Nhân viên rất nhiệt tình và luôn hỗ trợ mọi khách hàng đến.,0,59,14,1
nv_tot,"Dịch vụ nhanh chóng và hiệu quả, nhân viên thân thiện với mọi người.",0,68,16,1
nv_tot,Tôi thực sự ấn tượng với sự chuyên nghiệp của nhân viên làm việc.,0,65,15,1
nv_tot,Nhân viên rất nhiệt tình và thân thiện với mọi khách hàng đến.,0,62,14,1
nv_tot,Dịch vụ tuyệt vời và nhân viên luôn sẵn sàng giúp đỡ tất cả mọi người.,0,70,17,1
nv_tot,Tôi rất hài lòng với sự tận tâm của nhân viên trong công việc.,0,62,15,1
nv_tot,Dịch vụ tốt và nhân viên rất dễ thương.,0,39,10,1
nv_tot,Nhân viên rất thân thiện và luôn cố gắng giải đáp mọi thắc mắc.,0,63,15,1
nv_tot,Dịch vụ tuyệt vời và nhân viên thân thiện với tất cả mọi người.,0,63,15,1
nv_tot,Tôi rất hài lòng với dịch vụ chuyên nghiệp của cửa hàng này.,0,60,14,1
